timestamp,magnetic_field,sunspot_number,max_goes_class,cumulative_index,label_max,label_cum,xray_flux_short
2017-02-07 00:00:00,4.1,13,FQ,0.0,0,0,3.776661e-08
2017-02-07 01:00:00,4.1,13,FQ,0.0,0,0,2.8268055e-08
2017-02-07 02:00:00,4.2,13,FQ,0.0,0,0,1.5135054e-08
2017-02-07 03:00:00,3.7,13,FQ,0.0,0,0,6.736181e-09
2017-02-07 04:00:00,4.3,13,FQ,0.0,0,0,2.813089e-09
2017-02-07 05:00:00,4.4,13,FQ,0.0,0,0,3.3524712e-09
2017-02-07 06:00:00,4.1,13,FQ,0.0,0,0,3.6274712e-09
2017-02-07 07:00:00,4.2,13,FQ,0.0,0,0,1.3036274e-09
2017-02-07 08:00:00,4.4,13,FQ,0.0,0,0,3.2908576e-09
2017-02-07 09:00:00,4.0,13,FQ,0.0,0,0,8.967715e-09
2017-02-07 10:00:00,4.3,13,FQ,0.0,0,0,9.316857e-09
2017-02-07 11:00:00,4.3,13,FQ,0.0,0,0,2.1053998e-08
2017-02-07 12:00:00,3.7,13,FQ,0.0,0,0,1.968484e-08
2017-02-07 13:00:00,4.2,13,FQ,0.0,0,0,2.6103e-08
2017-02-07 14:00:00,4.5,13,FQ,0.0,0,0,2.6678283e-08
2017-02-07 15:00:00,4.4,13,FQ,0.0,0,0,7.773167e-09
2017-02-07 16:00:00,4.4,13,FQ,0.0,0,0,5.725772e-09
2017-02-07 17:00:00,4.1,13,FQ,0.0,0,0,1e-09
2017-02-07 18:00:00,4.0,13,FQ,0.0,0,0,1e-09
2017-02-07 19:00:00,4.0,13,FQ,0.0,0,0,
2017-02-07 20:00:00,4.3,13,FQ,0.0,0,0,4.8935136e-09
2017-02-07 21:00:00,4.3,13,FQ,0.0,0,0,1.6464528e-08
2017-02-07 22:00:00,4.3,13,FQ,0.0,0,0,2.5790934e-08
2017-02-07 23:00:00,3.7,13,FQ,0.0,0,0,3.448705e-08
2017-02-08 00:00:00,4.0,11,B1.1,0.0,0,0,3.375519e-08
2017-02-08 01:00:00,3.8,11,B2.7,0.0,0,0,2.6423516e-08
2017-02-08 02:00:00,4.3,11,C1.1,1.1,0,0,1.8576856e-08
2017-02-08 03:00:00,4.0,11,C1.1,1.1,0,0,1.2397951e-08
2017-02-08 04:00:00,3.8,11,C1.3,2.4,0,0,6.1655974e-09
2017-02-08 05:00:00,3.9,11,C1.3,2.4,0,0,4.1811488e-09
